大項目	中項目	小項目	担当者	開始予定日	終了予定日	実績開始日	実績終了日
事前準備	開発環境構築	開発環境セットアップ手順書作成		2025-07-02	2025-07-03
事前準備	開発環境構築	React Native開発環境構築		2025-07-02	2025-07-04
事前準備	開発環境構築	iOS/Android開発環境設定		2025-07-04	2025-07-05
事前準備	手順書作成	アプリケーション仕様書作成		2025-07-02	2025-07-05
事前準備	手順書作成	テスト仕様書雛形作成		2025-07-05	2025-07-06
事前準備	設計	画面一覧作成		2025-07-06	2025-07-10
事前準備	設計	バッチ一覧作成		2025-07-06	2025-07-10
事前準備	設計	画面遷移図作成		2025-07-10	2025-07-13
アプリ開発	プロトタイプ作成第一弾	共通UIコンポーネント実装		2025-07-07	2025-07-08
アプリ開発	プロトタイプ作成第一弾	スプラッシュ画面・初期化処理		2025-07-08	2025-07-09
アプリ開発	プロトタイプ作成第一弾	ユーザ認証機能（ID/パスワード認証）		2025-07-09	2025-07-10
アプリ開発	プロトタイプ作成第一弾	トップメニュー・ダッシュボード表示（基本版）		2025-07-10	2025-07-11
アプリ開発	プロトタイプ作成第一弾	バーガーメニュー実装		2025-07-11	2025-07-12
アプリ開発	プロトタイプ作成第一弾	WebView画面実装（基本版）		2025-07-12	2025-07-13
アプリ開発	プロトタイプ作成第一弾	エラーハンドリング機能		2025-07-13	2025-07-14
テスト	テスト項目洗い出し	単体テスト項目定義（認証機能）		2025-07-03	2025-07-05
テスト	テスト項目洗い出し	単体テスト項目定義（バイタル管理機能）		2025-07-05	2025-07-08
テスト	テスト項目洗い出し	単体テスト項目定義（UI・表示機能）		2025-07-08	2025-07-10
テスト	テスト項目洗い出し	単体テスト項目定義（データ管理機能）		2025-07-10	2025-07-12
テスト	テスト項目洗い出し	単体テスト項目定義（Push通知機能）		2025-07-12	2025-07-13
テスト	テスト項目洗い出し	結合テスト項目定義（認証→バイタル連携）		2025-07-09	2025-07-11
テスト	テスト項目洗い出し	結合テスト項目定義（HealthKit/Google Fit連携）		2025-07-11	2025-07-14
テスト	テスト項目洗い出し	結合テスト項目定義（API連携）		2025-07-14	2025-07-16
テスト	テスト項目洗い出し	結合テスト項目定義（データ移行・バックアップ）		2025-07-16	2025-07-18
テスト	テスト項目洗い出し	総合テスト項目定義（エンドツーエンドシナリオ）		2025-07-13	2025-07-17
テスト	テスト項目洗い出し	総合テスト項目定義（パフォーマンステスト）		2025-07-17	2025-07-18
テスト	テスト項目洗い出し	多機種互換性試験項目定義（iOS各機種）		2025-07-18	2025-07-18
テスト	テスト項目洗い出し	多機種互換性試験項目定義（Android各機種）		2025-07-18	2025-07-18
テスト	テスト計画書作成	単体テスト計画書作成		2025-07-03	2025-07-07
テスト	テスト計画書作成	結合テスト計画書作成		2025-07-07	2025-07-12
テスト	テスト計画書作成	総合テスト計画書作成		2025-07-12	2025-07-16
テスト	テスト計画書作成	多機種互換性試験計画書作成		2025-07-16	2025-07-18
テスト	テスト計画書作成	テスト計画書統合・レビュー		2025-07-18	2025-07-18
